Time,Seq,DateTime,DeltaTime,CumulTime,Id,CimetrixGEM300Simulation_ModuleID,CimetrixGEM300Simulation_ProcessJobID,CimetrixGEM300Simulation_RCID,CimetrixGEM300Simulation_SubstrateID,CimetrixGEM300Simulation_StepCount,CimetrixGEM300Simulation_StepID
2022-11-24T08:13:45.397-07:00,44,2022-11-24 08:13:45.397,0.021,132.271,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,10,Step-9
2022-11-24T08:13:51.465-07:00,45,2022-11-24 08:13:51.465,6.068,138.339,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,10,Step-9
2022-11-24T08:13:51.490-07:00,46,2022-11-24 08:13:51.490,0.025,138.364,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.11,,
2022-11-24T08:13:53.656-07:00,47,2022-11-24 08:13:53.656,2.166,140.530,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,,
2022-11-24T08:13:53.699-07:00,48,2022-11-24 08:13:53.699,0.043,140.573,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,1,Step-0
2022-11-24T08:13:59.719-07:00,49,2022-11-24 08:13:59.719,6.020,146.593,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,1,Step-0
2022-11-24T08:13:59.742-07:00,50,2022-11-24 08:13:59.742,0.023,146.616,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,2,Step-1
2022-11-24T08:14:05.829-07:00,51,2022-11-24 08:14:05.829,6.087,152.703,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,2,Step-1
2022-11-24T08:14:05.850-07:00,52,2022-11-24 08:14:05.850,0.021,152.724,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,3,Step-2
2022-11-24T08:14:11.918-07:00,53,2022-11-24 08:14:11.918,6.068,158.792,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,3,Step-2
2022-11-24T08:14:11.942-07:00,54,2022-11-24 08:14:11.942,0.024,158.816,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,4,Step-3
2022-11-24T08:14:18.009-07:00,55,2022-11-24 08:14:18.009,6.067,164.883,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,4,Step-3
2022-11-24T08:14:18.032-07:00,56,2022-11-24 08:14:18.032,0.023,164.906,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,5,Step-4
2022-11-24T08:14:24.101-07:00,57,2022-11-24 08:14:24.101,6.069,170.975,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,5,Step-4
2022-11-24T08:14:24.121-07:00,58,2022-11-24 08:14:24.121,0.020,170.995,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,6,Step-5
2022-11-24T08:14:30.187-07:00,59,2022-11-24 08:14:30.187,6.066,177.061,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,6,Step-5
2022-11-24T08:14:30.212-07:00,60,2022-11-24 08:14:30.212,0.025,177.086,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,7,Step-6
2022-11-24T08:14:36.295-07:00,61,2022-11-24 08:14:36.295,6.083,183.169,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,7,Step-6
2022-11-24T08:14:36.326-07:00,62,2022-11-24 08:14:36.326,0.031,183.200,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,8,Step-7
2022-11-24T08:14:42.397-07:00,63,2022-11-24 08:14:42.397,6.071,189.271,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,8,Step-7
2022-11-24T08:14:42.424-07:00,64,2022-11-24 08:14:42.424,0.027,189.298,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,9,Step-8
2022-11-24T08:14:48.496-07:00,65,2022-11-24 08:14:48.496,6.072,195.370,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,9,Step-8
2022-11-24T08:14:48.521-07:00,66,2022-11-24 08:14:48.521,0.025,195.395,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,10,Step-9
2022-11-24T08:14:54.591-07:00,67,2022-11-24 08:14:54.591,6.070,201.465,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,10,Step-9
2022-11-24T08:14:54.619-07:00,68,2022-11-24 08:14:54.619,0.028,201.493,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.13,,
2022-11-24T08:14:56.809-07:00,69,2022-11-24 08:14:56.809,2.190,203.683,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,,
2022-11-24T08:14:56.851-07:00,70,2022-11-24 08:14:56.851,0.042,203.725,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,1,Step-0
2022-11-24T08:15:02.869-07:00,71,2022-11-24 08:15:02.869,6.018,209.743,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,1,Step-0
2022-11-24T08:15:02.896-07:00,72,2022-11-24 08:15:02.896,0.027,209.770,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,2,Step-1
2022-11-24T08:15:08.971-07:00,73,2022-11-24 08:15:08.971,6.075,215.845,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,2,Step-1
2022-11-24T08:15:08.996-07:00,74,2022-11-24 08:15:08.996,0.025,215.870,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,3,Step-2
2022-11-24T08:15:15.065-07:00,75,2022-11-24 08:15:15.065,6.069,221.939,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,3,Step-2
2022-11-24T08:15:15.086-07:00,76,2022-11-24 08:15:15.086,0.021,221.960,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,4,Step-3
2022-11-24T08:15:21.156-07:00,77,2022-11-24 08:15:21.156,6.070,228.030,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,4,Step-3
2022-11-24T08:15:21.184-07:00,78,2022-11-24 08:15:21.184,0.028,228.058,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,5,Step-4
2022-11-24T08:15:27.262-07:00,79,2022-11-24 08:15:27.262,6.078,234.136,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,5,Step-4
2022-11-24T08:15:27.283-07:00,80,2022-11-24 08:15:27.283,0.021,234.157,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,6,Step-5
2022-11-24T08:15:33.351-07:00,81,2022-11-24 08:15:33.351,6.068,240.225,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,6,Step-5
2022-11-24T08:15:33.373-07:00,82,2022-11-24 08:15:33.373,0.022,240.247,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,7,Step-6
2022-11-24T08:15:39.441-07:00,83,2022-11-24 08:15:39.441,6.068,246.315,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,7,Step-6
2022-11-24T08:15:39.462-07:00,84,2022-11-24 08:15:39.462,0.021,246.336,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,8,Step-7
2022-11-24T08:15:45.540-07:00,85,2022-11-24 08:15:45.540,6.078,252.414,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,8,Step-7
2022-11-24T08:15:45.561-07:00,86,2022-11-24 08:15:45.561,0.021,252.435,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,9,Step-8
2022-11-24T08:15:51.661-07:00,87,2022-11-24 08:15:51.661,6.100,258.535,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,9,Step-8
2022-11-24T08:15:51.683-07:00,88,2022-11-24 08:15:51.683,0.022,258.557,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,10,Step-9
2022-11-24T08:15:57.751-07:00,89,2022-11-24 08:15:57.751,6.068,264.625,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,10,Step-9
2022-11-24T08:15:57.777-07:00,90,2022-11-24 08:15:57.777,0.026,264.651,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.15,,
2022-11-24T08:15:59.933-07:00,91,2022-11-24 08:15:59.933,2.156,266.807,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,,
2022-11-24T08:15:59.991-07:00,92,2022-11-24 08:15:59.991,0.058,266.865,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,1,Step-0
2022-11-24T08:16:06.013-07:00,93,2022-11-24 08:16:06.013,6.022,272.887,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,1,Step-0
2022-11-24T08:16:06.036-07:00,94,2022-11-24 08:16:06.036,0.023,272.910,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,2,Step-1
2022-11-24T08:16:12.106-07:00,95,2022-11-24 08:16:12.106,6.070,278.980,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,2,Step-1
2022-11-24T08:16:12.129-07:00,96,2022-11-24 08:16:12.129,0.023,279.003,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,3,Step-2
2022-11-24T08:16:18.202-07:00,97,2022-11-24 08:16:18.202,6.073,285.076,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,3,Step-2
2022-11-24T08:16:18.224-07:00,98,2022-11-24 08:16:18.224,0.022,285.098,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,4,Step-3
2022-11-24T08:16:24.294-07:00,99,2022-11-24 08:16:24.294,6.070,291.168,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,4,Step-3
2022-11-24T08:16:24.317-07:00,100,2022-11-24 08:16:24.317,0.023,291.191,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,5,Step-4
2022-11-24T08:16:30.387-07:00,101,2022-11-24 08:16:30.387,6.070,297.261,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,5,Step-4
2022-11-24T08:16:30.408-07:00,102,2022-11-24 08:16:30.408,0.021,297.282,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,6,Step-5
2022-11-24T08:16:36.482-07:00,103,2022-11-24 08:16:36.482,6.074,303.356,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,6,Step-5
