Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:04:20.878-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:21.436-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.11,
2022-11-10T00:04:21.988-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:26.243-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:04:26.809-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:27.612-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:04:28.168-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:28.749-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.12,
2022-11-10T00:04:29.327-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:33.394-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber2,
2022-11-10T00:04:33.954-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:34.906-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:04:35.466-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:36.031-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.13,
2022-11-10T00:04:36.581-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:40.598-07:00,SubstrateLocation:2:Occupied-Unoccupied,ProcessChamber1,
2022-11-10T00:04:41.155-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:42.142-07:00,SubstrateLocation:2:Occupied-Unoccupied,PreAligner,
2022-11-10T00:04:42.692-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
2022-11-10T00:04:43.254-07:00,SubstrateLocation:2:Occupied-Unoccupied,CARRIER1.14,
2022-11-10T00:04:43.821-07:00,SubstrateLocation:2:Occupied-Unoccupied,Robot,
