Time,Id,CimetrixGEM300Simulation/MaterialManager/SubstLocID,CimetrixGEM300Simulation/MaterialManager/SubstLocSubstID
2022-11-10T00:13:57.827-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.10"
2022-11-10T00:13:58.391-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.10","CARRIER2.10"
2022-11-10T00:13:59.409-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.12"
2022-11-10T00:13:59.974-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.12"
2022-11-10T00:14:00.536-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.13"
2022-11-10T00:14:01.085-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.13"
2022-11-10T00:14:05.057-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.11"
2022-11-10T00:14:05.617-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.11","CARRIER2.11"
2022-11-10T00:14:06.649-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.13"
2022-11-10T00:14:07.208-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.13"
2022-11-10T00:14:07.760-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.14"
2022-11-10T00:14:08.327-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.14"
2022-11-10T00:14:12.203-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.12"
2022-11-10T00:14:12.780-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.12","CARRIER2.12"
2022-11-10T00:14:13.909-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.14"
2022-11-10T00:14:14.472-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.14"
2022-11-10T00:14:15.034-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.15"
2022-11-10T00:14:15.597-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.15"
2022-11-10T00:14:19.566-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.13"
2022-11-10T00:14:20.118-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.13","CARRIER2.13"
2022-11-10T00:14:21.168-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.15"
2022-11-10T00:14:21.720-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.15"
2022-11-10T00:14:22.273-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.16"
2022-11-10T00:14:22.824-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.16"
2022-11-10T00:14:26.818-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.14"
2022-11-10T00:14:27.384-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.14","CARRIER2.14"
2022-11-10T00:14:28.402-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.16"
2022-11-10T00:14:28.963-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.16"
2022-11-10T00:14:29.524-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.17"
2022-11-10T00:14:30.086-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.17"
2022-11-10T00:14:34.101-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.15"
2022-11-10T00:14:34.649-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.15","CARRIER2.15"
2022-11-10T00:14:35.650-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.17"
2022-11-10T00:14:36.200-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.17"
2022-11-10T00:14:36.747-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.18"
2022-11-10T00:14:37.297-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.18"
2022-11-10T00:14:41.294-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.16"
2022-11-10T00:14:41.847-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.16","CARRIER2.16"
2022-11-10T00:14:42.856-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.18"
2022-11-10T00:14:43.405-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.18"
2022-11-10T00:14:43.946-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.19"
2022-11-10T00:14:44.479-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.19"
2022-11-10T00:14:48.476-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.17"
2022-11-10T00:14:49.032-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.17","CARRIER2.17"
2022-11-10T00:14:50.058-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.19"
2022-11-10T00:14:50.623-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.19"
2022-11-10T00:14:51.209-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.20"
2022-11-10T00:14:51.781-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.20"
2022-11-10T00:14:55.686-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.18"
2022-11-10T00:14:56.284-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.18","CARRIER2.18"
2022-11-10T00:14:57.409-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.20"
2022-11-10T00:14:57.978-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.20"
2022-11-10T00:14:58.546-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.21"
2022-11-10T00:14:59.117-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.21"
2022-11-10T00:15:03.098-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.19"
2022-11-10T00:15:03.658-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.19","CARRIER2.19"
2022-11-10T00:15:04.709-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.21"
2022-11-10T00:15:05.276-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber2","CARRIER2.21"
2022-11-10T00:15:05.845-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.22"
2022-11-10T00:15:06.413-07:00,SubstrateLocation:1:Unoccupied-Occupied,"PreAligner","CARRIER2.22"
2022-11-10T00:15:10.413-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.20"
2022-11-10T00:15:10.968-07:00,SubstrateLocation:1:Unoccupied-Occupied,"CARRIER2.20","CARRIER2.20"
2022-11-10T00:15:11.998-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.22"
2022-11-10T00:15:12.556-07:00,SubstrateLocation:1:Unoccupied-Occupied,"ProcessChamber1","CARRIER2.22"
2022-11-10T00:15:13.123-07:00,SubstrateLocation:1:Unoccupied-Occupied,"Robot","CARRIER2.23"
